originating-authority-charge-identifier,number_of_polygons,number_of_points,number_of_lines,avg_area_(m^3),area_standard_derivation_(+-),smallest_area_(m^3),largest_area_(m^3)
13844,1,0,0,387.8848174865543,,387.8848174865543,387.8848174865543
13845,1,0,0,399.6719889949316,,399.6719889949316,399.6719889949316
13846,1,0,0,738.4956099794996,,738.4956099794996,738.4956099794996
13847,1,0,0,41.812199999609305,,41.812199999609305,41.812199999609305
13848,1,0,0,279.62463549507896,,279.62463549507896,279.62463549507896
13849,1,0,0,414.80073250532644,,414.80073250532644,414.80073250532644
13850,1,0,0,340.270003407328,,340.270003407328,340.270003407328
13851,1,0,0,401.3175934680164,,401.3175934680164,401.3175934680164
13852,1,0,0,30460.629250024405,,30460.629250024405,30460.629250024405
13856,1,0,0,624.2573769899873,,624.2573769899873,624.2573769899873
13857,1,0,0,1693.7420972243935,,1693.7420972243935,1693.7420972243935
13858,1,0,0,3047.5724882740574,,3047.5724882740574,3047.5724882740574
13859,1,0,0,287.9483499979619,,287.9483499979619,287.9483499979619
13860,1,0,0,1477.4008190034178,,1477.4008190034178,1477.4008190034178
13861,1,0,0,12.085998617626128,,12.085998617626128,12.085998617626128
13862,1,0,0,555.3123764917596,,555.3123764917596,555.3123764917596
13863,1,0,0,428.2080299958553,,428.2080299958553,428.2080299958553
13864,1,0,0,44.970749990797316,,44.970749990797316,44.970749990797316
13865,1,0,0,451.20822400310146,,451.20822400310146,451.20822400310146
13866,1,0,0,237.26694799849378,,237.26694799849378,237.26694799849378
13867,1,0,0,364.13019300142855,,364.13019300142855,364.13019300142855
13868,1,0,0,421.57822649524746,,421.57822649524746,421.57822649524746
13869,1,0,0,326.297267009048,,326.297267009048,326.297267009048
13870,1,0,0,289.3081864949553,,289.3081864949553,289.3081864949553
13871,1,0,0,308.1015855819851,,308.1015855819851,308.1015855819851
13872,1,0,0,1533.4906208798889,,1533.4906208798889,1533.4906208798889
13873,1,0,0,58.14410000563079,,58.14410000563079,58.14410000563079
13874,1,0,0,150.85226249553955,,150.85226249553955,150.85226249553955
13875,1,0,0,203.57396850376523,,203.57396850376523,203.57396850376523
13876,1,0,0,137.85501950699359,,137.85501950699359,137.85501950699359
13877,1,0,0,82.98450000136899,,82.98450000136899,82.98450000136899
13878,1,0,0,113.74428749687092,,113.74428749687092,113.74428749687092
13879,1,0,0,145.32759199906323,,145.32759199906323,145.32759199906323
13880,1,0,0,65.65159999664469,,65.65159999664469,65.65159999664469
13881,1,0,0,110.85699999590662,,110.85699999590662,110.85699999590662
13883,1,0,0,115.0716679923862,,115.0716679923862,115.0716679923862
13884,1,0,0,30.033856499375172,,30.033856499375172,30.033856499375172
13885,1,0,0,119.77045000628594,,119.77045000628594,119.77045000628594
13886,1,0,0,319.66410626257914,,319.66410626257914,319.66410626257914
13887,1,0,0,159.33999999186872,,159.33999999186872,159.33999999186872
13888,1,0,0,222.86499999224998,,222.86499999224998,222.86499999224998
13889,2,0,0,76.71317000267427,35.76923694644854,51.420499999972115,102.00584000537643
13890,1,0,0,45.49850000548823,,45.49850000548823,45.49850000548823
13891,1,0,0,214.45995049400628,,214.45995049400628,214.45995049400628
13892,1,0,0,73.85800001249345,,73.85800001249345,73.85800001249345
13893,1,0,0,89.07415000098864,,89.07415000098864,89.07415000098864
13895,1,0,0,46.44352749398307,,46.44352749398307,46.44352749398307
13896,1,0,0,80.55005248662653,,80.55005248662653,80.55005248662653
13897,1,0,0,87.62719999914523,,87.62719999914523,87.62719999914523
13898,1,0,0,109.8807125052232,,109.8807125052232,109.8807125052232
13899,1,0,0,384.1178623468616,,384.1178623468616,384.1178623468616
13901,2,0,0,127513.78024192702,9586.302969877062,120735.2404054182,134292.32007843582
13904,1,0,0,57.29249999930791,,57.29249999930791,57.29249999930791
13905,2,0,0,98427.95808918473,50719.867131057,62563.596099933646,134292.32007843582
13906,2,0,0,730.8472223521536,976.5760422859621,40.303680507429235,1421.390764196878
13907,1,0,0,1779.3368240010939,,1779.3368240010939,1779.3368240010939
